Data,Non indicizzate,Indicizzate,Impressioni
2026-06-05,5,1,8
2026-06-06,5,1,8
2026-06-07,5,1,13
2026-06-08,5,1,21
2026-06-09,5,1,13
2026-06-10,5,1,22
2026-06-11,5,1,18
2026-06-12,5,1,8
2026-06-13,5,1,12
2026-06-14,5,1,14
2026-06-15,5,1,21
2026-06-16,5,1,20
2026-06-17,5,1,25
2026-06-18,5,1,21
2026-06-19,5,1,12
2026-06-20,5,1,16
2026-06-21,5,1,11
2026-06-22,5,1,13
2026-06-23,5,1,23
2026-06-24,5,1,17
2026-06-25,5,1,19
2026-06-26,5,1,23
2026-06-27,5,1,5
2026-06-28,5,1,7
2026-06-29,5,1,22
2026-06-30,5,1,17
2026-07-01,5,1,18
2026-07-02,5,1,24
2026-07-03,5,1,13
2026-07-04,5,1,6
2026-07-05,5,1,4
2026-07-06,5,1,22
2026-07-07,5,1,26
2026-07-08,5,1,12
2026-07-09,5,1,27
2026-07-10,5,1,27
2026-07-11,5,1,10
2026-07-12,5,1,20
2026-07-13,5,1,17
2026-07-14,5,1,16
2026-07-15,5,1,17
2026-07-16,5,1,8
2026-07-17,5,1,8
2026-07-18,5,1,13
2026-07-19,5,1,6
2026-07-20,5,1,26
2026-07-21,5,1,12
2026-07-22,5,1,22
2026-07-23,5,1,11
2026-07-24,5,1,24
2026-07-25,3,1,18
2026-07-26,3,1,5
2026-07-27,3,1,23
2026-07-28,3,1,13
2026-07-29,3,1,17
2026-07-30,3,1,14
2026-07-31,3,1,16
2026-08-01,3,1,5
2026-08-02,3,1,2
2026-08-03,3,1,13
2026-08-04,3,1,17
2026-08-05,3,1,19
2026-08-06,2,1,9
2026-08-07,2,1,11
2026-08-08,2,1,9
2026-08-09,2,1,6
2026-08-10,2,1,13
2026-08-11,2,1,16
2026-08-12,2,1,16
2026-08-13,2,1,11
2026-08-14,2,1,11
2026-08-15,4,1,11
2026-08-16,4,1,9
2026-08-17,4,1,15
2026-08-18,85,3,23
2026-08-19,85,3,12
2026-08-20,85,3,26
2026-08-21,85,3,12
2026-08-22,130,16,11
2026-08-23,130,16,9
2026-08-24,130,16,17
2026-08-25,130,16,15
2026-08-26,130,16,20
2026-08-27,130,16,54
2026-08-28,130,16,20
