Data	Clic	Impressioni	CTR	Posizione																					
2026-06-02	0	18	0%	9.1																					
2026-06-03	1	20	5%	9.3																					
2026-06-04	0	19	0%	12.3																					
2026-06-05	0	8	0%	18.6																					
2026-06-06	0	8	0%	7.5																					
2026-06-07	0	13	0%	9.5																					
2026-06-08	0	21	0%	9.9																					
2026-06-09	0	13	0%	9.1																					
2026-06-10	0	22	0%	8.6																					
2026-06-11	0	18	0%	11.4																					
2026-06-12	0	8	0%	10.5																					
2026-06-13	0	12	0%	8.6																					
2026-06-14	2	14	14.29%	9.4																					
2026-06-15	0	21	0%	8																					
2026-06-16	0	20	0%	9.4																					
2026-06-17	0	25	0%	7.7																					
2026-06-18	0	21	0%	9.6																					
2026-06-19	0	12	0%	8.1																					
2026-06-20	2	16	12.5%	9.8																					
2026-06-21	1	11	9.09%	8.5																					
2026-06-22	0	13	0%	9.7																					
2026-06-23	0	23	0%	8																					
2026-06-24	0	17	0%	8.4																					
2026-06-25	0	19	0%	9.7																					
2026-06-26	1	23	4.35%	9.1																					
2026-06-27	0	5	0%	10																					
2026-06-28	0	7	0%	12.3																					
2026-06-29	0	22	0%	8.2																					
2026-06-30	0	17	0%	11.6																					
2026-07-01	0	18	0%	8.8																					
2026-07-02	0	24	0%	11.4																					
2026-07-03	0	13	0%	10.5																					
2026-07-04	0	6	0%	10.5																					
2026-07-05	1	4	25%	6																					
2026-07-06	0	22	0%	11.5																					
2026-07-07	1	26	3.85%	8.4																					
2026-07-08	0	12	0%	10.8																					
2026-07-09	0	27	0%	8.7																					
2026-07-10	1	27	3.7%	8.7																					
2026-07-11	0	10	0%	9.1																					
2026-07-12	0	20	0%	8.2																					
2026-07-13	0	17	0%	14																					
2026-07-14	2	16	12.5%	8.6																					
2026-07-15	1	17	5.88%	9.1																					
2026-07-16	0	8	0%	7.9																					
2026-07-17	1	8	12.5%	11																					
2026-07-18	0	13	0%	7.6																					
2026-07-19	0	6	0%	9.7																					
2026-07-20	0	26	0%	9.3																					
2026-07-21	0	12	0%	8.9																					
